t    x     y    deg 
0.000   0.00   0.00   0.00 
0.001   0.00   0.00   0.00 
0.201   0.26   -0.00   359.14 
0.401   0.31   -0.00   358.94 
0.601   0.35   -0.00   358.72 
0.801   0.40   -0.00   358.50 
1.001   0.45   -0.01   358.30 
1.201   0.50   -0.01   358.01 
1.401   0.54   -0.01   357.86 
1.601   0.60   -0.01   357.59 
1.801   0.65   -0.01   357.39 
2.001   0.70   -0.02   357.20 
2.201   0.75   -0.02   356.95 
2.401   0.80   -0.02   356.78 
2.601   0.85   -0.02   356.58 
2.801   0.91   -0.03   356.29 
3.001   0.96   -0.03   356.05 
3.201   1.00   -0.03   355.86 
3.401   1.06   -0.04   355.59 
3.601   1.11   -0.04   355.40 
3.801   1.17   -0.05   355.14 
4.001   1.21   -0.05   354.94 
4.201   1.27   -0.06   354.64 
4.401   1.33   -0.06   354.36 
4.601   1.38   -0.07   354.19 
4.801   1.41   -0.07   353.94 
5.001   1.42   -0.07   355.12 
5.201   1.42   -0.07   359.52 
5.401   1.42   -0.07   3.21 
5.601   1.42   -0.07   7.62 
5.801   1.43   -0.07   12.24 
6.001   1.43   -0.07   15.54 
6.201   1.43   -0.07   20.29 
6.401   1.43   -0.07   25.28 
6.601   1.44   -0.07   28.84 
6.801   1.44   -0.06   33.65 
7.001   1.44   -0.06   38.26 
7.201   1.44   -0.06   43.05 
7.401   1.44   -0.06   46.99 
7.601   1.44   -0.06   51.37 
7.801   1.44   -0.06   56.53 
8.001   1.45   -0.06   60.25 
8.201   1.45   -0.05   65.21 
8.401   1.45   -0.05   69.62 
8.601   1.45   -0.05   69.57 
8.801   1.45   -0.05   69.55 
9.001   1.45   -0.05   69.53 
9.201   1.45   -0.05   69.51 
9.401   1.45   -0.05   69.51 
9.601   1.45   -0.05   69.51 
9.801   1.45   -0.05   69.51 
10.001   1.45   -0.05   69.51 
10.201   1.45   -0.05   69.51 
10.401   1.45   -0.05   69.51 
10.601   1.45   -0.05   69.51 
10.801   1.45   -0.05   69.51 
11.001   1.45   -0.05   69.51 
11.201   1.45   -0.05   69.51 
11.401   1.45   -0.05   69.51 
11.601   1.45   -0.05   69.51 
11.801   1.45   -0.05   69.51 
12.001   1.45   -0.05   69.51 
12.201   1.45   -0.05   69.51 
12.401   1.45   -0.05   69.51 
12.601   1.45   -0.05   69.51 
12.801   1.45   -0.05   69.51 
13.001   1.45   -0.05   69.51 
13.201   1.45   -0.05   69.51 
13.401   1.45   -0.05   69.51 
13.601   1.45   -0.05   69.51 
13.801   1.45   -0.05   69.51 
14.001   1.45   -0.05   69.51 
14.201   1.45   -0.05   69.51 
14.401   1.45   -0.05   69.51 
14.601   1.45   -0.05   69.51 
14.801   1.45   -0.05   69.51 
15.001   1.45   -0.05   69.51 
15.201   1.45   -0.05   69.51 
15.401   1.45   -0.05   69.51 
15.601   1.45   -0.05   69.51 
15.801   1.45   -0.05   69.51 
16.001   1.45   -0.05   69.51 
