t    x     y    deg 
0.000   0.00   0.00   0.00 
0.001   0.00   0.00   0.00 
0.201   0.26   -0.00   358.89 
0.401   0.31   -0.00   358.71 
0.601   0.36   -0.00   358.44 
0.801   0.41   -0.01   358.31 
1.001   0.46   -0.01   358.12 
1.201   0.51   -0.01   357.92 
1.401   0.55   -0.01   357.77 
1.601   0.61   -0.01   357.55 
1.801   0.66   -0.02   357.30 
2.001   0.71   -0.02   357.13 
2.201   0.76   -0.02   356.86 
2.401   0.81   -0.02   356.64 
2.601   0.86   -0.03   356.46 
2.801   0.91   -0.03   356.29 
3.001   0.96   -0.03   356.02 
3.201   1.02   -0.04   355.80 
3.401   1.06   -0.04   355.65 
3.601   1.12   -0.04   355.37 
3.801   1.18   -0.05   355.20 
4.001   1.22   -0.05   355.11 
4.201   1.28   -0.06   354.87 
4.401   1.34   -0.06   354.67 
4.601   1.39   -0.07   354.45 
4.801   1.41   -0.07   354.08 
5.001   1.41   -0.07   355.60 
5.201   1.42   -0.07   0.36 
5.401   1.42   -0.07   3.63 
5.601   1.42   -0.07   8.15 
5.801   1.43   -0.07   12.83 
6.001   1.43   -0.07   17.00 
6.201   1.43   -0.07   21.06 
6.401   1.43   -0.07   26.05 
6.601   1.44   -0.07   30.47 
6.801   1.44   -0.07   35.38 
7.001   1.44   -0.06   38.92 
7.201   1.44   -0.06   43.91 
7.401   1.44   -0.06   47.52 
7.601   1.44   -0.06   52.75 
7.801   1.45   -0.06   57.78 
8.001   1.45   -0.06   62.46 
8.201   1.45   -0.05   66.53 
8.401   1.45   -0.05   71.90 
8.601   1.45   -0.05   76.53 
8.801   1.45   -0.05   81.89 
9.001   1.45   -0.05   85.82 
9.201   1.45   -0.04   91.13 
9.401   1.45   -0.04   96.16 
9.601   1.45   -0.04   100.09 
9.801   1.45   -0.04   105.44 
10.001   1.45   -0.04   110.28 
10.201   1.45   -0.04   115.74 
10.401   1.45   -0.04   120.23 
10.601   1.45   -0.03   124.94 
10.801   1.45   -0.03   130.42 
11.001   1.44   -0.03   134.58 
11.201   1.44   -0.03   140.22 
11.401   1.40   -0.00   145.34 
11.601   1.35   0.04   146.09 
11.801   1.26   0.09   146.78 
12.001   1.20   0.13   147.29 
12.201   1.12   0.18   147.50 
12.401   1.05   0.23   147.91 
12.601   0.98   0.27   148.52 
12.801   0.90   0.32   149.05 
13.001   0.84   0.36   149.49 
13.201   0.76   0.40   149.97 
13.401   0.67   0.45   150.65 
13.601   0.60   0.50   151.00 
13.801   0.52   0.54   151.23 
14.001   0.45   0.58   151.72 
14.201   0.36   0.62   152.15 
14.401   0.29   0.66   152.52 
14.601   0.21   0.70   153.01 
14.801   0.12   0.75   153.39 
15.001   0.06   0.78   153.60 
15.201   -0.03   0.82   153.91 
15.401   -0.12   0.87   154.09 
15.601   -0.21   0.91   154.39 
15.801   -0.28   0.94   154.58 
16.001   -0.36   0.98   154.99 
16.201   -0.46   1.02   155.27 
16.401   -0.53   1.06   155.59 
16.601   -0.61   1.10   155.71 
16.801   -0.71   1.14   155.83 
17.001   -0.78   1.17   155.87 
17.201   -0.87   1.21   155.97 
17.401   -0.96   1.25   156.14 
17.601   -0.96   1.25   155.72 
17.801   -0.96   1.25   155.65 
18.001   -0.96   1.25   155.63 
18.201   -0.96   1.25   155.62 
18.401   -0.96   1.25   155.62 
18.601   -0.96   1.25   155.62 
18.801   -0.96   1.25   155.62 
19.001   -0.96   1.25   155.62 
19.201   -0.96   1.25   155.62 
19.401   -0.96   1.25   155.62 
19.601   -0.96   1.25   155.62 
19.801   -0.96   1.25   155.62 
20.001   -0.96   1.25   155.62 
20.201   -0.96   1.25   155.62 
20.401   -0.96   1.25   155.62 
