t    x     y    deg 
0.000   0.00   0.00   0.00 
0.000   0.00   0.00   0.00 
0.010   0.00   0.00   0.00 
0.020   0.00   0.00   0.00 
0.041   0.00   0.00   0.00 
0.041   0.00   0.00   0.00 
0.064   0.00   0.00   0.00 
0.064   0.00   0.00   0.00 
0.076   0.00   0.00   0.00 
0.124   0.00   0.00   0.00 
0.124   0.00   0.00   0.00 
0.142   0.00   0.00   0.00 
0.168   0.00   0.00   0.00 
0.168   0.00   0.00   0.00 
0.168   0.00   0.00   0.00 
0.184   0.00   0.00   0.00 
0.192   0.00   0.00   0.00 
0.199   0.00   0.00   0.00 
0.212   0.00   0.00   0.00 
0.242   0.00   0.00   0.00 
0.242   0.00   0.00   0.00 
0.242   0.00   0.00   0.00 
0.285   0.00   0.00   0.00 
0.292   0.00   0.00   0.00 
0.342   0.00   0.00   0.00 
0.342   0.00   0.00   0.00 
0.363   0.00   0.00   0.00 
0.363   0.00   0.00   0.00 
0.376   0.00   0.00   0.00 
0.392   0.00   0.00   0.00 
0.392   0.00   0.00   0.00 
0.420   0.00   0.00   0.00 
0.443   0.00   0.00   0.00 
0.493   0.00   0.00   0.00 
0.506   0.00   0.00   0.00 
0.513   0.00   0.00   0.00 
0.531   0.00   0.00   0.00 
0.535   0.00   0.00   0.00 
0.543   0.00   0.00   0.00 
0.553   0.00   0.00   0.00 
0.573   0.00   0.00   0.00 
0.573   0.00   0.00   0.00 
0.602   0.00   0.00   0.00 
0.602   0.00   0.00   0.00 
0.604   0.00   0.00   0.00 
0.613   0.00   0.00   0.00 
0.623   0.00   0.00   0.00 
0.636   0.00   0.00   0.00 
0.656   0.00   0.00   0.00 
0.656   0.00   0.00   0.00 
0.663   0.00   0.00   0.00 
0.673   0.00   0.00   0.00 
0.688   0.00   0.00   0.00 
0.706   0.00   0.00   0.00 
0.706   0.00   0.00   0.00 
0.728   0.00   0.00   0.00 
0.728   0.00   0.00   0.00 
0.740   0.00   0.00   0.00 
0.752   0.00   0.00   0.00 
0.756   0.00   0.00   0.00 
0.796   0.00   0.00   0.00 
0.796   0.00   0.00   0.00 
0.807   0.00   0.00   0.00 
0.820   0.00   0.00   0.00 
0.844   0.00   0.00   0.00 
0.844   0.00   0.00   0.00 
0.857   0.00   0.00   0.00 
0.857   0.00   0.00   0.00 
0.892   0.00   0.00   0.00 
0.892   0.00   0.00   0.00 
0.892   0.00   0.00   0.00 
0.896   0.00   0.00   0.00 
0.906   0.00   0.00   0.00 
0.916   0.00   0.00   0.00 
0.932   0.00   0.00   0.00 
0.944   0.00   0.00   0.00 
0.967   0.00   0.00   0.00 
0.967   0.00   0.00   0.00 
0.967   0.00   0.00   0.00 
0.992   0.00   0.00   0.00 
0.992   0.00   0.00   0.00 
1.007   0.00   0.00   0.00 
1.007   0.00   0.00   0.00 
1.020   0.00   0.00   0.00 
1.026   0.00   0.00   0.00 
1.036   0.00   0.00   0.00 
1.060   0.00   0.00   0.00 
1.060   0.00   0.00   0.00 
1.082   0.00   0.00   0.00 
1.132   0.00   0.00   0.00 
1.182   0.00   0.00   0.00 
1.224   0.00   0.00   0.00 
1.240   0.00   0.00   0.00 
1.244   0.00   0.00   0.00 
1.288   0.00   0.00   0.00 
1.288   0.00   0.00   0.00 
1.298   0.00   0.00   0.00 
1.308   0.00   0.00   0.00 
1.318   0.00   0.00   0.00 
1.349   0.00   0.00   0.00 
1.359   0.00   0.00   0.00 
1.372   0.00   0.00   0.00 
1.379   0.00   0.00   0.00 
1.399   0.00   0.00   0.00 
1.408   0.00   0.00   0.00 
1.444   0.00   0.00   0.00 
1.444   0.00   0.00   0.00 
1.454   0.00   0.00   0.00 
1.492   0.00   0.00   0.00 
1.505   0.00   0.00   0.00 
1.516   0.00   0.00   0.00 
1.530   0.00   0.00   0.00 
1.535   0.00   0.00   0.00 
1.556   0.00   0.00   0.00 
1.556   0.00   0.00   0.00 
1.583   0.00   0.00   0.00 
1.583   0.00   0.00   0.00 
1.615   0.00   0.00   0.00 
1.616   0.00   0.00   0.00 
1.626   0.00   0.00   0.00 
1.660   0.00   0.00   0.00 
1.666   0.00   0.00   0.00 
1.676   0.00   0.00   0.00 
1.686   0.00   0.00   0.00 
1.700   0.00   0.00   0.00 
1.716   0.00   0.00   0.00 
1.716   0.00   0.00   0.00 
1.732   0.00   0.00   0.00 
1.766   0.00   0.00   0.00 
1.766   0.00   0.00   0.00 
1.776   0.00   0.00   0.00 
1.792   0.00   0.00   0.00 
1.796   0.00   0.00   0.00 
1.806   0.00   0.00   0.00 
1.832   0.00   0.00   0.00 
1.844   0.00   0.00   0.00 
1.844   0.00   0.00   0.00 
1.876   0.00   0.00   0.00 
1.880   0.00   0.00   0.00 
1.892   0.00   0.00   0.00 
1.934   0.00   0.00   0.00 
1.936   0.00   0.00   0.00 
1.960   0.00   0.00   0.00 
1.984   0.00   0.00   0.00 
2.008   0.00   0.00   0.00 
2.008   0.00   0.00   0.00 
2.022   0.00   0.00   0.00 
2.032   0.00   0.00   0.00 
2.036   0.00   0.00   0.00 
2.064   0.00   0.00   0.00 
2.064   0.00   0.00   0.00 
2.070   0.00   0.00   0.00 
2.112   0.00   0.00   0.00 
2.112   0.00   0.00   0.00 
2.156   0.00   0.00   0.00 
2.164   0.00   0.00   0.00 
2.176   0.00   0.00   0.00 
2.226   0.00   0.00   0.00 
2.240   0.00   0.00   0.00 
2.277   0.00   0.00   0.00 
2.277   0.00   0.00   0.00 
2.277   0.00   0.00   0.00 
2.296   0.00   0.00   0.00 
2.296   0.00   0.00   0.00 
2.327   0.00   0.00   0.00 
2.327   0.00   0.00   0.00 
2.327   0.00   0.00   0.00 
2.330   0.00   0.00   0.00 
