t    x     y    deg 
0.000   0.00   0.00   0.00 
0.001   0.00   0.00   0.00 
0.011   0.00   0.00   0.00 
0.021   0.27   -0.00   358.91 
0.031   0.27   -0.00   358.91 
0.041   0.27   -0.00   358.89 
0.051   0.27   -0.00   358.89 
0.061   0.28   -0.00   358.87 
0.071   0.28   -0.00   358.87 
0.081   0.28   -0.00   358.86 
0.091   0.28   -0.00   358.86 
0.101   0.29   -0.00   358.85 
0.111   0.29   -0.00   358.85 
0.121   0.29   -0.00   358.82 
0.131   0.29   -0.00   358.82 
0.141   0.30   -0.00   358.78 
0.151   0.30   -0.00   358.78 
0.161   0.30   -0.00   358.73 
0.171   0.30   -0.00   358.73 
0.181   0.31   -0.00   358.69 
0.191   0.31   -0.00   358.69 
0.201   0.31   -0.00   358.69 
0.211   0.31   -0.00   358.69 
0.221   0.31   -0.00   358.69 
0.231   0.32   -0.00   358.64 
0.241   0.32   -0.00   358.64 
0.251   0.32   -0.00   358.64 
0.261   0.32   -0.00   358.64 
0.271   0.33   -0.00   358.61 
0.281   0.33   -0.00   358.61 
0.291   0.33   -0.00   358.61 
0.301   0.33   -0.00   358.61 
0.311   0.34   -0.00   358.58 
0.321   0.34   -0.00   358.58 
0.331   0.34   -0.00   358.58 
0.341   0.34   -0.00   358.58 
0.351   0.34   -0.00   358.58 
0.361   0.34   -0.00   358.52 
0.371   0.34   -0.00   358.52 
0.381   0.34   -0.00   358.52 
0.391   0.34   -0.00   358.52 
0.401   0.36   -0.00   358.44 
0.411   0.36   -0.00   358.44 
0.421   0.36   -0.00   358.44 
0.431   0.36   -0.00   358.44 
0.441   0.36   -0.00   358.44 
0.451   0.37   -0.00   358.39 
0.461   0.37   -0.00   358.36 
0.471   0.37   -0.00   358.36 
0.481   0.38   -0.00   358.34 
0.491   0.38   -0.00   358.34 
0.501   0.38   -0.00   358.34 
0.511   0.38   -0.00   358.34 
0.521   0.39   -0.01   358.30 
0.531   0.39   -0.01   358.30 
0.541   0.39   -0.01   358.30 
0.551   0.39   -0.01   358.30 
0.561   0.39   -0.01   358.30 
0.571   0.40   -0.01   358.27 
0.581   0.40   -0.01   358.27 
0.591   0.40   -0.01   358.27 
0.601   0.40   -0.01   358.27 
0.611   0.41   -0.01   358.24 
0.621   0.41   -0.01   358.24 
0.631   0.41   -0.01   358.24 
0.641   0.41   -0.01   358.24 
0.651   0.42   -0.01   358.20 
0.661   0.42   -0.01   358.20 
0.671   0.42   -0.01   358.20 
0.681   0.42   -0.01   358.20 
0.691   0.42   -0.01   358.20 
0.701   0.43   -0.01   358.11 
0.711   0.43   -0.01   358.11 
0.721   0.43   -0.01   358.11 
0.731   0.43   -0.01   358.11 
0.741   0.44   -0.01   357.96 
0.751   0.44   -0.01   357.96 
0.761   0.44   -0.01   357.96 
0.771   0.44   -0.01   357.96 
0.781   0.44   -0.01   357.96 
0.791   0.45   -0.01   357.92 
0.801   0.46   -0.01   357.91 
0.811   0.46   -0.01   357.91 
0.821   0.46   -0.01   357.89 
0.831   0.46   -0.01   357.89 
0.841   0.46   -0.01   357.89 
0.851   0.46   -0.01   357.89 
0.861   0.47   -0.01   357.86 
0.871   0.47   -0.01   357.86 
0.881   0.47   -0.01   357.86 
0.891   0.47   -0.01   357.86 
0.901   0.47   -0.01   357.86 
0.911   0.48   -0.01   357.81 
0.921   0.48   -0.01   357.81 
0.931   0.48   -0.01   357.81 
0.941   0.48   -0.01   357.81 
0.951   0.49   -0.01   357.75 
0.961   0.49   -0.01   357.75 
0.971   0.49   -0.01   357.75 
0.981   0.49   -0.01   357.75 
0.991   0.50   -0.01   357.66 
1.001   0.50   -0.01   357.66 
1.011   0.50   -0.01   357.66 
1.021   0.50   -0.01   357.66 
1.031   0.50   -0.01   357.66 
1.041   0.51   -0.01   357.60 
1.051   0.51   -0.01   357.60 
1.061   0.51   -0.01   357.60 
1.071   0.51   -0.01   357.60 
1.081   0.53   -0.01   357.55 
1.091   0.53   -0.01   357.55 
1.101   0.53   -0.01   357.55 
1.111   0.53   -0.01   357.55 
1.121   0.53   -0.01   357.55 
1.131   0.54   -0.01   357.51 
1.141   0.54   -0.01   357.47 
1.151   0.54   -0.01   357.47 
1.161   0.55   -0.01   357.45 
1.171   0.55   -0.01   357.45 
1.181   0.55   -0.01   357.45 
1.191   0.55   -0.01   357.45 
1.201   0.56   -0.01   357.42 
1.211   0.56   -0.01   357.42 
1.221   0.56   -0.01   357.42 
1.231   0.56   -0.01   357.42 
1.241   0.56   -0.01   357.42 
1.251   0.57   -0.01   357.37 
1.261   0.57   -0.01   357.37 
1.271   0.57   -0.01   357.37 
1.281   0.57   -0.01   357.37 
1.291   0.58   -0.01   357.33 
1.301   0.58   -0.01   357.33 
1.311   0.58   -0.01   357.33 
1.321   0.58   -0.01   357.33 
1.331   0.59   -0.01   357.29 
1.341   0.59   -0.01   357.29 
1.351   0.59   -0.01   357.29 
1.361   0.59   -0.01   357.29 
1.371   0.59   -0.01   357.29 
1.381   0.60   -0.01   357.25 
1.391   0.60   -0.01   357.25 
1.401   0.60   -0.01   357.25 
1.411   0.60   -0.01   357.25 
1.421   0.61   -0.01   357.15 
1.431   0.61   -0.01   357.15 
1.441   0.61   -0.01   357.15 
1.451   0.61   -0.01   357.15 
1.461   0.61   -0.01   357.15 
1.471   0.62   -0.01   357.10 
1.481   0.63   -0.01   357.10 
1.491   0.63   -0.01   357.10 
1.501   0.63   -0.01   357.09 
1.511   0.63   -0.01   357.09 
1.521   0.63   -0.01   357.09 
1.531   0.63   -0.01   357.09 
1.541   0.65   -0.02   357.04 
1.551   0.65   -0.02   357.04 
1.561   0.65   -0.02   357.04 
1.571   0.65   -0.02   357.04 
1.581   0.65   -0.02   357.04 
1.591   0.66   -0.02   356.94 
1.601   0.66   -0.02   356.94 
1.611   0.66   -0.02   356.94 
1.621   0.66   -0.02   356.94 
1.631   0.67   -0.02   356.88 
1.641   0.67   -0.02   356.88 
1.651   0.67   -0.02   356.88 
1.661   0.67   -0.02   356.88 
1.671   0.68   -0.02   356.86 
1.681   0.68   -0.02   356.86 
1.691   0.68   -0.02   356.86 
1.701   0.68   -0.02   356.86 
1.711   0.68   -0.02   356.86 
1.721   0.69   -0.02   356.84 
1.731   0.69   -0.02   356.84 
1.741   0.69   -0.02   356.84 
1.751   0.69   -0.02   356.84 
1.761   0.70   -0.02   356.76 
1.771   0.70   -0.02   356.76 
1.781   0.70   -0.02   356.76 
1.791   0.70   -0.02   356.76 
1.801   0.70   -0.02   356.76 
1.811   0.71   -0.02   356.72 
1.821   0.72   -0.02   356.70 
1.831   0.72   -0.02   356.70 
1.841   0.72   -0.02   356.67 
1.851   0.72   -0.02   356.67 
1.861   0.72   -0.02   356.67 
1.871   0.72   -0.02   356.67 
1.881   0.73   -0.02   356.63 
1.891   0.73   -0.02   356.63 
1.901   0.73   -0.02   356.63 
1.911   0.73   -0.02   356.63 
1.921   0.73   -0.02   356.63 
1.931   0.74   -0.02   356.59 
1.941   0.74   -0.02   356.59 
1.951   0.74   -0.02   356.59 
1.961   0.74   -0.02   356.59 
1.971   0.75   -0.02   356.56 
1.981   0.75   -0.02   356.56 
1.991   0.75   -0.02   356.56 
2.001   0.75   -0.02   356.56 
2.011   0.76   -0.02   356.52 
2.021   0.76   -0.02   356.52 
2.031   0.76   -0.02   356.52 
2.041   0.76   -0.02   356.52 
2.051   0.76   -0.02   356.52 
2.061   0.77   -0.02   356.48 
2.071   0.77   -0.02   356.48 
2.081   0.77   -0.02   356.48 
2.091   0.77   -0.02   356.48 
2.101   0.79   -0.02   356.39 
2.111   0.79   -0.02   356.39 
2.121   0.79   -0.02   356.39 
2.131   0.79   -0.02   356.39 
2.141   0.79   -0.02   356.39 
2.151   0.80   -0.02   356.38 
2.161   0.80   -0.02   356.36 
2.171   0.80   -0.02   356.36 
2.181   0.81   -0.03   356.34 
2.191   0.81   -0.03   356.34 
2.201   0.81   -0.03   356.34 
2.211   0.81   -0.03   356.34 
2.221   0.82   -0.03   356.31 
2.231   0.82   -0.03   356.31 
2.241   0.82   -0.03   356.31 
2.251   0.82   -0.03   356.31 
2.261   0.82   -0.03   356.31 
2.271   0.83   -0.03   356.27 
2.281   0.83   -0.03   356.27 
2.291   0.83   -0.03   356.27 
2.301   0.83   -0.03   356.27 
2.311   0.84   -0.03   356.25 
2.321   0.84   -0.03   356.25 
2.331   0.84   -0.03   356.25 
2.341   0.84   -0.03   356.25 
2.351   0.85   -0.03   356.23 
2.361   0.85   -0.03   356.23 
2.371   0.85   -0.03   356.23 
2.381   0.85   -0.03   356.23 
2.391   0.85   -0.03   356.23 
2.401   0.86   -0.03   356.20 
2.411   0.86   -0.03   356.20 
2.421   0.86   -0.03   356.20 
2.431   0.86   -0.03   356.20 
2.441   0.88   -0.03   356.16 
2.451   0.88   -0.03   356.16 
2.461   0.88   -0.03   356.16 
2.471   0.88   -0.03   356.16 
2.481   0.88   -0.03   356.16 
2.491   0.89   -0.03   356.12 
2.501   0.89   -0.03   356.10 
2.511   0.89   -0.03   356.10 
2.521   0.90   -0.03   356.09 
2.531   0.90   -0.03   356.09 
2.541   0.90   -0.03   356.09 
2.551   0.90   -0.03   356.09 
2.561   0.90   -0.03   356.08 
2.571   0.90   -0.03   356.08 
2.581   0.90   -0.03   356.08 
2.591   0.90   -0.03   356.08 
2.601   0.92   -0.03   356.02 
2.611   0.92   -0.03   356.02 
2.621   0.92   -0.03   356.02 
2.631   0.92   -0.03   356.02 
2.641   0.92   -0.03   356.02 
2.651   0.93   -0.03   356.01 
2.661   0.93   -0.03   356.00 
2.671   0.93   -0.03   356.00 
2.681   0.94   -0.03   355.99 
2.691   0.94   -0.03   355.99 
2.701   0.94   -0.03   355.99 
2.711   0.94   -0.03   355.99 
2.721   0.95   -0.03   355.96 
2.731   0.95   -0.03   355.96 
2.741   0.95   -0.03   355.96 
2.751   0.95   -0.03   355.96 
2.761   0.95   -0.03   355.96 
2.771   0.96   -0.04   355.93 
2.781   0.96   -0.04   355.93 
2.791   0.96   -0.04   355.93 
2.801   0.96   -0.04   355.93 
2.811   0.97   -0.04   355.91 
2.821   0.97   -0.04   355.91 
2.831   0.97   -0.04   355.91 
2.841   0.97   -0.04   355.91 
2.851   0.98   -0.04   355.87 
2.861   0.98   -0.04   355.87 
2.871   0.98   -0.04   355.87 
2.881   0.98   -0.04   355.87 
2.891   0.98   -0.04   355.87 
2.901   0.99   -0.04   355.83 
2.911   0.99   -0.04   355.83 
2.921   0.99   -0.04   355.83 
2.931   0.99   -0.04   355.83 
2.941   1.00   -0.04   355.80 
2.951   1.00   -0.04   355.80 
2.961   1.01   -0.04   355.78 
2.971   1.01   -0.04   355.78 
2.981   1.01   -0.04   355.77 
2.991   1.01   -0.04   355.77 
3.001   1.01   -0.04   355.77 
3.011   1.01   -0.04   355.77 
3.021   1.02   -0.04   355.75 
3.031   1.02   -0.04   355.75 
3.041   1.02   -0.04   355.75 
3.051   1.02   -0.04   355.75 
3.061   1.04   -0.04   355.73 
3.071   1.04   -0.04   355.73 
3.081   1.04   -0.04   355.73 
3.091   1.04   -0.04   355.73 
3.101   1.04   -0.04   355.73 
3.111   1.05   -0.04   355.68 
3.121   1.05   -0.04   355.68 
3.131   1.05   -0.04   355.68 
3.141   1.05   -0.04   355.68 
3.151   1.06   -0.04   355.63 
3.161   1.06   -0.04   355.63 
3.171   1.06   -0.04   355.63 
3.181   1.06   -0.04   355.63 
3.191   1.07   -0.04   355.59 
3.201   1.07   -0.04   355.59 
3.211   1.07   -0.04   355.59 
3.221   1.07   -0.04   355.59 
3.231   1.07   -0.04   355.59 
3.241   1.08   -0.04   355.55 
3.251   1.08   -0.04   355.55 
3.261   1.08   -0.04   355.55 
3.271   1.08   -0.04   355.55 
3.281   1.09   -0.05   355.51 
3.291   1.09   -0.05   355.51 
3.301   1.10   -0.05   355.50 
3.311   1.10   -0.05   355.50 
3.321   1.10   -0.05   355.48 
3.331   1.10   -0.05   355.48 
3.341   1.10   -0.05   355.48 
3.351   1.10   -0.05   355.48 
3.361   1.11   -0.05   355.43 
3.371   1.11   -0.05   355.43 
3.381   1.11   -0.05   355.43 
3.391   1.11   -0.05   355.43 
3.401   1.12   -0.05   355.39 
3.411   1.12   -0.05   355.39 
3.421   1.12   -0.05   355.39 
3.431   1.12   -0.05   355.39 
3.441   1.12   -0.05   355.39 
3.451   1.14   -0.05   355.35 
3.461   1.14   -0.05   355.35 
3.471   1.14   -0.05   355.35 
3.481   1.14   -0.05   355.35 
3.491   1.15   -0.05   355.32 
3.501   1.15   -0.05   355.32 
3.511   1.15   -0.05   355.32 
3.521   1.15   -0.05   355.32 
3.531   1.16   -0.05   355.26 
3.541   1.16   -0.05   355.26 
3.551   1.16   -0.05   355.26 
3.561   1.16   -0.05   355.26 
3.571   1.16   -0.05   355.26 
3.581   1.17   -0.05   355.23 
3.591   1.17   -0.05   355.23 
3.601   1.17   -0.05   355.23 
3.611   1.17   -0.05   355.23 
3.621   1.18   -0.05   355.18 
3.631   1.18   -0.05   355.18 
3.641   1.19   -0.05   355.16 
3.651   1.19   -0.05   355.16 
3.661   1.19   -0.05   355.13 
3.671   1.19   -0.05   355.13 
3.681   1.19   -0.05   355.13 
3.691   1.19   -0.05   355.13 
3.701   1.20   -0.05   355.08 
3.711   1.20   -0.05   355.08 
3.721   1.20   -0.05   355.08 
3.731   1.20   -0.05   355.08 
3.741   1.21   -0.06   355.01 
3.751   1.21   -0.06   355.01 
3.761   1.21   -0.06   355.01 
3.771   1.21   -0.06   355.01 
3.781   1.21   -0.06   355.01 
3.791   1.23   -0.06   354.98 
3.801   1.23   -0.06   354.98 
3.811   1.23   -0.06   354.98 
3.821   1.23   -0.06   354.98 
3.831   1.24   -0.06   354.97 
3.841   1.24   -0.06   354.97 
3.851   1.24   -0.06   354.97 
3.861   1.24   -0.06   354.97 
3.871   1.25   -0.06   354.93 
3.881   1.25   -0.06   354.93 
3.891   1.25   -0.06   354.93 
3.901   1.25   -0.06   354.93 
3.911   1.25   -0.06   354.93 
3.921   1.26   -0.06   354.86 
3.931   1.26   -0.06   354.86 
3.941   1.26   -0.06   354.86 
3.951   1.26   -0.06   354.86 
3.961   1.27   -0.06   354.81 
3.971   1.27   -0.06   354.81 
3.981   1.28   -0.06   354.77 
3.991   1.28   -0.06   354.77 
4.001   1.28   -0.06   354.73 
4.011   1.28   -0.06   354.73 
4.021   1.28   -0.06   354.73 
4.031   1.28   -0.06   354.73 
4.041   1.29   -0.06   354.70 
4.051   1.29   -0.06   354.70 
4.061   1.29   -0.06   354.70 
4.071   1.29   -0.06   354.70 
4.107   1.30   -0.06   354.66 
4.117   1.30   -0.06   354.66 
4.127   1.32   -0.06   354.61 
4.137   1.32   -0.06   354.61 
4.147   1.32   -0.06   354.61 
4.157   1.32   -0.06   354.61 
4.167   1.33   -0.07   354.54 
4.177   1.33   -0.07   354.54 
4.187   1.33   -0.07   354.54 
4.197   1.33   -0.07   354.54 
4.207   1.33   -0.07   354.54 
4.217   1.34   -0.07   354.51 
4.227   1.34   -0.07   354.51 
4.237   1.34   -0.07   354.51 
4.247   1.34   -0.07   354.51 
4.257   1.35   -0.07   354.49 
4.267   1.35   -0.07   354.49 
4.277   1.35   -0.07   354.49 
4.287   1.35   -0.07   354.49 
4.297   1.35   -0.07   354.49 
4.307   1.36   -0.07   354.43 
4.317   1.37   -0.07   354.39 
4.327   1.37   -0.07   354.39 
4.337   1.37   -0.07   354.35 
4.347   1.37   -0.07   354.35 
4.357   1.37   -0.07   354.35 
4.367   1.37   -0.07   354.35 
4.377   1.37   -0.07   354.35 
4.387   1.39   -0.07   354.27 
4.397   1.39   -0.07   354.27 
4.407   1.39   -0.07   354.27 
4.417   1.39   -0.07   354.27 
4.427   1.40   -0.07   354.25 
4.437   1.40   -0.07   354.25 
4.447   1.40   -0.07   354.25 
4.457   1.40   -0.07   354.25 
4.467   1.41   -0.07   354.24 
4.477   1.41   -0.07   354.24 
4.487   1.41   -0.07   354.24 
4.497   1.41   -0.07   354.24 
4.507   1.41   -0.07   354.24 
4.517   1.42   -0.07   354.21 
4.527   1.42   -0.07   354.21 
4.537   1.42   -0.07   354.21 
4.547   1.42   -0.07   354.21 
4.557   1.43   -0.08   354.11 
4.567   1.43   -0.08   354.11 
4.577   1.43   -0.08   354.11 
4.587   1.43   -0.08   354.11 
4.597   1.43   -0.08   354.11 
4.607   1.44   -0.08   354.03 
4.617   1.45   -0.08   354.01 
4.627   1.45   -0.08   354.01 
4.637   1.45   -0.08   353.99 
4.647   1.45   -0.08   353.99 
4.657   1.45   -0.08   353.99 
4.667   1.45   -0.08   353.99 
4.677   1.46   -0.08   353.98 
4.687   1.46   -0.08   353.98 
4.697   1.46   -0.08   353.98 
4.707   1.46   -0.08   353.98 
4.717   1.46   -0.08   353.98 
4.727   1.46   -0.08   353.96 
4.737   1.46   -0.08   353.96 
4.747   1.46   -0.08   353.96 
4.757   1.46   -0.08   353.96 
4.767   1.46   -0.08   353.96 
4.777   1.46   -0.08   353.96 
4.787   1.46   -0.08   353.96 
4.797   1.46   -0.08   353.96 
4.807   1.46   -0.08   354.07 
4.817   1.46   -0.08   354.07 
4.827   1.46   -0.08   354.07 
4.837   1.46   -0.08   354.07 
4.847   1.46   -0.08   354.07 
4.857   1.46   -0.08   354.21 
4.867   1.46   -0.08   354.21 
4.877   1.46   -0.08   354.21 
4.887   1.46   -0.08   354.21 
4.897   1.46   -0.08   354.85 
4.907   1.46   -0.08   354.85 
4.917   1.46   -0.08   354.85 
4.927   1.46   -0.08   354.85 
4.937   1.46   -0.08   354.85 
4.947   1.46   -0.08   355.54 
4.957   1.46   -0.08   355.91 
4.967   1.46   -0.08   355.91 
4.977   1.46   -0.08   356.31 
4.987   1.46   -0.08   356.31 
4.997   1.46   -0.08   356.31 
5.007   1.46   -0.08   356.31 
5.017   1.46   -0.08   357.41 
5.027   1.46   -0.08   357.41 
5.037   1.46   -0.08   357.41 
5.047   1.46   -0.08   357.41 
5.057   1.46   -0.08   357.41 
5.067   1.46   -0.08   358.28 
5.077   1.46   -0.08   358.28 
5.087   1.46   -0.08   358.28 
5.097   1.46   -0.08   358.28 
5.107   1.46   -0.08   359.07 
5.117   1.46   -0.08   359.07 
5.127   1.46   -0.08   359.07 
5.137   1.46   -0.08   359.07 
5.147   1.47   -0.08   359.84 
5.157   1.47   -0.08   359.84 
5.167   1.47   -0.08   359.84 
5.177   1.47   -0.08   359.84 
5.187   1.47   -0.08   359.84 
5.197   1.47   -0.08   0.61 
5.207   1.47   -0.08   0.61 
5.217   1.47   -0.08   0.61 
5.227   1.47   -0.08   0.61 
5.237   1.47   -0.08   1.96 
5.247   1.47   -0.08   1.96 
5.257   1.47   -0.08   1.96 
5.267   1.47   -0.08   1.96 
5.277   1.47   -0.08   1.96 
5.287   1.47   -0.08   2.77 
5.297   1.47   -0.08   3.20 
5.307   1.47   -0.08   3.20 
5.317   1.47   -0.08   3.64 
5.327   1.47   -0.08   3.64 
5.337   1.47   -0.08   3.64 
5.347   1.47   -0.08   3.64 
5.357   1.47   -0.08   4.51 
5.367   1.47   -0.08   4.51 
5.377   1.47   -0.08   4.51 
5.387   1.47   -0.08   4.51 
5.397   1.47   -0.08   4.51 
5.407   1.47   -0.08   5.30 
5.417   1.47   -0.08   5.30 
