t    x     y    deg 
0.000   0.00   0.00   0.00 
0.000   0.00   0.00   0.00 
0.010   0.00   0.00   0.00 
0.020   0.00   0.00   0.00 
0.030   0.00   0.00   0.00 
0.040   0.00   0.00   0.00 
0.050   0.00   0.00   0.00 
0.072   0.00   0.00   0.00 
0.076   0.00   0.00   0.00 
0.126   0.00   0.00   0.00 
0.126   0.00   0.00   0.00 
0.136   0.00   0.00   0.00 
0.176   0.00   0.00   0.00 
0.176   0.00   0.00   0.00 
0.208   0.00   0.00   0.00 
0.208   0.00   0.00   0.00 
0.208   0.00   0.00   0.00 
0.224   0.00   0.00   0.00 
0.226   0.00   0.00   0.00 
0.236   0.00   0.00   0.00 
0.246   0.00   0.00   0.00 
0.256   0.00   0.00   0.00 
0.272   0.00   0.00   0.00 
0.276   0.00   0.00   0.00 
0.300   0.00   0.00   0.00 
0.300   0.00   0.00   0.00 
0.327   0.00   0.00   0.00 
0.327   0.00   0.00   0.00 
0.327   0.00   0.00   0.00 
0.377   0.00   0.00   0.00 
0.377   0.00   0.00   0.00 
0.387   0.00   0.00   0.00 
0.424   0.00   0.00   0.00 
0.424   0.00   0.00   0.00 
0.424   0.00   0.00   0.00 
0.427   0.00   0.00   0.00 
0.456   0.00   0.00   0.00 
0.460   0.00   0.00   0.00 
0.464   0.00   0.00   0.00 
0.472   0.00   0.00   0.00 
0.492   0.00   0.00   0.00 
0.492   0.00   0.00   0.00 
0.519   0.00   0.00   0.00 
0.524   0.00   0.00   0.00 
0.551   0.00   0.00   0.00 
0.551   0.00   0.00   0.00 
0.573   0.00   0.00   0.00 
0.573   0.00   0.00   0.00 
0.582   0.00   0.00   0.00 
0.592   0.00   0.00   0.00 
0.616   0.00   0.00   0.00 
0.616   0.00   0.00   0.00 
0.621   0.00   0.00   0.00 
0.640   0.00   0.00   0.00 
0.668   0.00   0.00   0.00 
0.668   0.00   0.00   0.00 
0.668   0.00   0.00   0.00 
0.671   0.00   0.00   0.00 
0.691   0.00   0.00   0.00 
0.699   0.00   0.00   0.00 
0.741   0.00   0.00   0.00 
0.741   0.00   0.00   0.00 
0.780   0.00   0.00   0.00 
0.780   0.00   0.00   0.00 
0.780   0.00   0.00   0.00 
0.791   0.00   0.00   0.00 
0.791   0.00   0.00   0.00 
0.824   0.00   0.00   0.00 
0.824   0.00   0.00   0.00 
0.824   0.00   0.00   0.00 
0.836   0.00   0.00   0.00 
0.841   0.00   0.00   0.00 
0.860   0.00   0.00   0.00 
0.884   0.00   0.00   0.00 
0.884   0.00   0.00   0.00 
0.884   0.00   0.00   0.00 
0.891   0.00   0.00   0.00 
0.901   0.00   0.00   0.00 
0.941   0.00   0.00   0.00 
0.948   0.00   0.00   0.00 
0.958   0.00   0.00   0.00 
0.968   0.00   0.00   0.00 
0.984   0.00   0.00   0.00 
0.991   0.00   0.00   0.00 
1.020   0.00   0.00   0.00 
1.020   0.00   0.00   0.00 
1.020   0.00   0.00   0.00 
1.028   0.00   0.00   0.00 
1.038   0.00   0.00   0.00 
1.050   0.00   0.00   0.00 
1.072   0.00   0.00   0.00 
1.072   0.00   0.00   0.00 
1.078   0.00   0.00   0.00 
1.098   0.00   0.00   0.00 
1.098   0.00   0.00   0.00 
1.148   0.00   0.00   0.00 
1.148   0.00   0.00   0.00 
1.184   0.00   0.00   0.00 
1.184   0.00   0.00   0.00 
1.184   0.00   0.00   0.00 
1.202   0.00   0.00   0.00 
1.204   0.00   0.00   0.00 
1.247   0.00   0.00   0.00 
1.247   0.00   0.00   0.00 
1.263   0.00   0.00   0.00 
1.302   0.00   0.00   0.00 
1.302   0.00   0.00   0.00 
1.316   0.00   0.00   0.00 
1.352   0.00   0.00   0.00 
1.365   0.00   0.00   0.00 
1.374   0.00   0.00   0.00 
1.402   0.00   0.00   0.00 
1.403   0.00   0.00   0.00 
1.403   0.00   0.00   0.00 
1.412   0.00   0.00   0.00 
1.423   0.00   0.00   0.00 
1.444   0.00   0.00   0.00 
1.452   0.00   0.00   0.00 
1.453   0.00   0.00   0.00 
1.462   0.00   0.00   0.00 
1.489   0.00   0.00   0.00 
1.501   0.00   0.00   0.00 
1.501   0.00   0.00   0.00 
1.503   0.00   0.00   0.00 
1.516   0.00   0.00   0.00 
1.533   0.00   0.00   0.00 
1.536   0.00   0.00   0.00 
1.561   0.00   0.00   0.00 
1.562   0.00   0.00   0.00 
1.565   0.00   0.00   0.00 
1.575   0.00   0.00   0.00 
1.587   0.00   0.00   0.00 
1.600   0.00   0.00   0.00 
1.603   0.00   0.00   0.00 
1.612   0.00   0.00   0.00 
1.622   0.00   0.00   0.00 
1.632   0.00   0.00   0.00 
1.642   0.00   0.00   0.00 
1.652   0.00   0.00   0.00 
1.662   0.00   0.00   0.00 
1.672   0.00   0.00   0.00 
1.682   0.00   0.00   0.00 
1.692   0.00   0.00   0.00 
1.702   0.00   0.00   0.00 
1.712   0.00   0.00   0.00 
1.722   0.00   0.00   0.00 
1.732   0.00   0.00   0.00 
1.742   0.00   0.00   0.00 
1.753   0.00   0.00   0.00 
1.762   0.00   0.00   0.00 
1.773   0.00   0.00   0.00 
1.793   0.00   0.00   0.00 
1.793   0.00   0.00   0.00 
1.802   0.00   0.00   0.00 
1.820   0.00   0.00   0.00 
1.843   0.00   0.00   0.00 
1.843   0.00   0.00   0.00 
1.843   0.00   0.00   0.00 
1.857   0.00   0.00   0.00 
1.869   0.00   0.00   0.00 
1.872   0.00   0.00   0.00 
1.882   0.00   0.00   0.00 
1.893   0.00   0.00   0.00 
1.912   0.00   0.00   0.00 
1.912   0.00   0.00   0.00 
1.943   0.00   0.00   0.00 
1.943   0.00   0.00   0.00 
1.943   0.00   0.00   0.00 
