t    x     y    deg 
0.000   0.00   0.00   0.00 
0.001   0.00   0.00   0.00 
0.201   -0.15   -0.12   174.38 
0.401   -0.24   -0.11   173.96 
0.601   -0.31   -0.10   173.71 
0.801   -0.41   -0.09   173.16 
1.001   -0.49   -0.08   172.77 
1.201   -0.57   -0.07   172.35 
1.401   -0.66   -0.06   172.01 
1.601   -0.74   -0.04   171.67 
1.801   -0.83   -0.03   171.28 
2.001   -0.92   -0.02   170.80 
2.201   -0.99   -0.01   170.46 
2.401   -1.08   0.01   170.09 
2.601   -1.18   0.03   169.69 
2.801   -1.25   0.04   169.43 
3.001   -1.34   0.06   168.94 
3.201   -1.43   0.08   168.73 
3.401   -1.53   0.10   168.30 
3.601   -1.62   0.11   167.90 
3.801   -1.70   0.13   167.56 
4.001   -1.78   0.15   167.24 
4.201   -1.88   0.17   166.83 
4.401   -1.95   0.19   166.55 
4.601   -2.05   0.21   166.22 
4.801   -2.10   0.23   165.77 
5.001   -2.10   0.23   165.46 
5.201   -2.10   0.23   165.42 
5.401   -2.10   0.23   165.42 
5.601   -2.10   0.23   165.43 
5.801   -2.10   0.23   165.43 
6.001   -2.10   0.23   165.43 
6.201   -2.10   0.23   165.43 
6.401   -2.10   0.23   165.43 
6.601   -2.10   0.23   165.43 
6.801   -2.10   0.23   165.43 
7.001   -2.10   0.23   165.43 
7.201   -2.10   0.23   165.43 
7.401   -2.10   0.23   165.43 
7.601   -2.10   0.23   165.43 
