t    x     y    deg 
0.000   0.00   0.00   0.00 
0.000   0.00   0.00   0.00 
0.010   0.00   0.00   0.00 
0.020   0.00   0.00   0.00 
0.030   0.11   -0.00   359.62 
0.040   0.11   -0.00   359.62 
0.050   0.11   -0.00   359.59 
0.060   0.11   -0.00   359.59 
0.070   0.12   -0.00   359.56 
0.080   0.12   -0.00   359.56 
0.090   0.12   -0.00   359.53 
0.100   0.12   -0.00   359.53 
0.110   0.13   -0.00   359.50 
0.120   0.13   -0.00   359.50 
0.130   0.13   -0.00   359.48 
0.140   0.13   -0.00   359.48 
0.150   0.13   -0.00   359.47 
0.160   0.13   -0.00   359.47 
0.170   0.14   -0.00   359.46 
0.180   0.14   -0.00   359.46 
0.190   0.14   -0.00   359.46 
0.200   0.14   -0.00   359.46 
0.210   0.14   -0.00   359.46 
0.220   0.14   -0.00   359.46 
0.230   0.14   -0.00   359.46 
0.240   0.15   -0.00   359.45 
0.250   0.15   -0.00   359.45 
0.260   0.15   -0.00   359.45 
0.270   0.15   -0.00   359.45 
0.280   0.16   -0.00   359.43 
0.290   0.16   -0.00   359.43 
0.300   0.16   -0.00   359.43 
0.310   0.16   -0.00   359.43 
0.320   0.17   -0.00   359.42 
0.330   0.17   -0.00   359.39 
0.340   0.17   -0.00   359.39 
0.350   0.17   -0.00   359.39 
0.360   0.17   -0.00   359.39 
0.370   0.18   -0.00   359.33 
0.380   0.18   -0.00   359.33 
0.390   0.18   -0.00   359.33 
0.400   0.18   -0.00   359.33 
0.410   0.20   -0.00   359.27 
0.420   0.20   -0.00   359.27 
0.430   0.20   -0.00   359.27 
0.440   0.20   -0.00   359.27 
0.450   0.20   -0.00   359.27 
0.460   0.21   -0.00   359.24 
0.470   0.21   -0.00   359.23 
0.480   0.21   -0.00   359.23 
0.490   0.21   -0.00   359.23 
0.500   0.21   -0.00   359.23 
0.510   0.21   -0.00   359.23 
0.520   0.21   -0.00   359.23 
0.530   0.21   -0.00   359.23 
0.540   0.22   -0.00   359.18 
0.550   0.22   -0.00   359.18 
0.560   0.22   -0.00   359.18 
0.570   0.22   -0.00   359.18 
0.580   0.23   -0.00   359.13 
0.590   0.23   -0.00   359.13 
0.600   0.23   -0.00   359.13 
0.610   0.23   -0.00   359.13 
0.620   0.24   -0.00   359.13 
0.630   0.24   -0.00   359.12 
0.640   0.24   -0.00   359.12 
0.650   0.24   -0.00   359.12 
0.660   0.24   -0.00   359.12 
0.670   0.25   -0.00   359.09 
0.680   0.25   -0.00   359.09 
0.690   0.25   -0.00   359.09 
0.700   0.25   -0.00   359.09 
0.710   0.27   -0.00   359.02 
0.720   0.27   -0.00   359.02 
0.730   0.27   -0.00   359.02 
0.740   0.27   -0.00   359.02 
0.750   0.27   -0.00   359.02 
0.760   0.28   -0.00   358.96 
0.770   0.28   -0.00   358.94 
0.780   0.28   -0.00   358.94 
0.790   0.29   -0.00   358.92 
0.800   0.29   -0.00   358.92 
0.810   0.29   -0.00   358.92 
0.820   0.29   -0.00   358.92 
0.830   0.30   -0.00   358.90 
0.840   0.30   -0.00   358.90 
0.850   0.30   -0.00   358.90 
0.860   0.30   -0.00   358.90 
0.870   0.30   -0.00   358.90 
0.880   0.31   -0.00   358.88 
0.890   0.31   -0.00   358.88 
0.900   0.31   -0.00   358.88 
0.910   0.31   -0.00   358.88 
0.920   0.32   -0.00   358.85 
0.930   0.32   -0.00   358.85 
0.940   0.32   -0.00   358.85 
0.950   0.32   -0.00   358.85 
0.960   0.32   -0.00   358.82 
0.970   0.33   -0.00   358.79 
0.980   0.33   -0.00   358.79 
0.990   0.33   -0.00   358.79 
1.000   0.33   -0.00   358.79 
1.010   0.34   -0.00   358.76 
1.020   0.34   -0.00   358.76 
1.030   0.34   -0.00   358.76 
1.040   0.34   -0.00   358.76 
1.050   0.35   -0.00   358.64 
1.060   0.35   -0.00   358.64 
1.070   0.35   -0.00   358.64 
1.080   0.35   -0.00   358.64 
1.090   0.35   -0.00   358.64 
1.100   0.36   -0.00   358.63 
1.110   0.36   -0.00   358.63 
1.120   0.36   -0.00   358.63 
1.130   0.37   -0.00   358.62 
1.140   0.37   -0.00   358.62 
1.150   0.37   -0.00   358.62 
1.160   0.37   -0.00   358.62 
1.170   0.38   -0.00   358.56 
1.180   0.38   -0.00   358.56 
1.190   0.38   -0.00   358.56 
1.200   0.38   -0.00   358.56 
1.210   0.38   -0.00   358.56 
1.220   0.39   -0.00   358.52 
1.230   0.39   -0.00   358.52 
1.240   0.39   -0.00   358.52 
1.250   0.39   -0.00   358.52 
1.260   0.40   -0.01   358.46 
1.270   0.40   -0.01   358.46 
1.280   0.40   -0.01   358.46 
1.290   0.40   -0.01   358.46 
1.301   0.41   -0.01   358.43 
1.310   0.41   -0.01   358.43 
1.320   0.41   -0.01   358.43 
1.330   0.41   -0.01   358.43 
1.340   0.41   -0.01   358.43 
1.350   0.42   -0.01   358.39 
1.360   0.42   -0.01   358.39 
1.370   0.42   -0.01   358.39 
1.380   0.42   -0.01   358.39 
1.390   0.43   -0.01   358.30 
1.400   0.43   -0.01   358.30 
1.410   0.43   -0.01   358.30 
1.420   0.43   -0.01   358.30 
1.430   0.43   -0.01   358.30 
1.440   0.44   -0.01   358.24 
1.450   0.45   -0.01   358.23 
1.460   0.45   -0.01   358.23 
1.470   0.45   -0.01   358.22 
1.480   0.45   -0.01   358.22 
1.490   0.45   -0.01   358.22 
1.500   0.45   -0.01   358.22 
1.510   0.46   -0.01   358.18 
1.520   0.46   -0.01   358.18 
1.530   0.46   -0.01   358.18 
1.540   0.46   -0.01   358.18 
1.550   0.46   -0.01   358.18 
1.560   0.47   -0.01   358.13 
1.570   0.47   -0.01   358.13 
