t    x     y    deg 
0.000   0.00   0.00   0.00 
0.000   0.00   0.00   0.00 
0.010   0.00   0.00   0.00 
0.020   0.00   0.00   0.00 
0.030   0.00   0.00   0.00 
0.040   0.00   0.00   0.00 
0.050   0.00   0.00   0.00 
0.060   0.00   0.00   0.00 
0.070   0.00   0.00   0.00 
0.082   0.00   0.00   0.00 
0.090   0.00   0.00   0.00 
0.103   0.00   0.00   0.00 
0.117   0.00   0.00   0.00 
0.124   0.00   0.00   0.00 
0.136   0.00   0.00   0.00 
0.145   0.00   0.00   0.00 
0.153   0.00   0.00   0.00 
0.160   0.00   0.00   0.00 
0.170   0.00   0.00   0.00 
0.197   0.00   0.00   0.00 
0.199   0.00   0.00   0.00 
0.210   0.00   0.00   0.00 
0.210   0.00   0.00   0.00 
0.238   0.00   0.00   0.00 
0.248   0.00   0.00   0.00 
0.249   0.00   0.00   0.00 
0.258   0.00   0.00   0.00 
0.260   0.00   0.00   0.00 
0.275   0.00   0.00   0.00 
0.280   0.00   0.00   0.00 
0.290   0.00   0.00   0.00 
0.300   0.00   0.00   0.00 
0.310   0.00   0.00   0.00 
0.325   0.00   0.00   0.00 
0.333   0.00   0.00   0.00 
0.340   0.00   0.00   0.00 
0.357   0.00   0.00   0.00 
0.363   0.00   0.00   0.00 
0.387   0.00   0.00   0.00 
0.387   0.00   0.00   0.00 
0.399   0.00   0.00   0.00 
0.404   0.00   0.00   0.00 
0.413   0.00   0.00   0.00 
0.423   0.00   0.00   0.00 
0.441   0.00   0.00   0.00 
0.441   0.00   0.00   0.00 
0.453   0.00   0.00   0.00 
0.460   0.00   0.00   0.00 
0.470   0.00   0.00   0.00 
0.494   0.00   0.00   0.00 
0.494   0.00   0.00   0.00 
0.505   0.00   0.00   0.00 
0.510   0.00   0.00   0.00 
0.520   0.00   0.00   0.00 
0.530   0.00   0.00   0.00 
0.540   0.00   0.00   0.00 
0.550   0.00   0.00   0.00 
0.590   0.00   0.00   0.00 
0.613   0.00   0.00   0.00 
0.640   0.00   0.00   0.00 
0.640   0.00   0.00   0.00 
0.643   0.00   0.00   0.00 
0.677   0.00   0.00   0.00 
0.690   0.00   0.00   0.00 
0.717   0.00   0.00   0.00 
0.717   0.00   0.00   0.00 
0.740   0.00   0.00   0.00 
0.740   0.00   0.00   0.00 
0.740   0.00   0.00   0.00 
0.765   0.00   0.00   0.00 
0.790   0.00   0.00   0.00 
0.809   0.00   0.00   0.00 
0.829   0.00   0.00   0.00 
0.829   0.00   0.00   0.00 
0.835   0.00   0.00   0.00 
0.841   0.00   0.00   0.00 
0.869   0.00   0.00   0.00 
0.869   0.00   0.00   0.00 
0.905   0.00   0.00   0.00 
0.905   0.00   0.00   0.00 
0.917   0.00   0.00   0.00 
0.981   0.00   0.00   0.00 
0.981   0.00   0.00   0.00 
0.994   0.00   0.00   0.00 
1.009   0.00   0.00   0.00 
1.011   0.00   0.00   0.00 
1.024   0.00   0.00   0.00 
1.034   0.00   0.00   0.00 
1.041   0.00   0.00   0.00 
1.054   0.00   0.00   0.00 
1.069   0.00   0.00   0.00 
1.074   0.00   0.00   0.00 
1.082   0.00   0.00   0.00 
1.091   0.00   0.00   0.00 
1.103   0.00   0.00   0.00 
1.111   0.00   0.00   0.00 
1.129   0.00   0.00   0.00 
1.133   0.00   0.00   0.00 
1.161   0.00   0.00   0.00 
1.161   0.00   0.00   0.00 
1.161   0.00   0.00   0.00 
1.171   0.00   0.00   0.00 
1.212   0.00   0.00   0.00 
1.212   0.00   0.00   0.00 
1.262   0.00   0.00   0.00 
1.262   0.00   0.00   0.00 
1.289   0.00   0.00   0.00 
1.289   0.00   0.00   0.00 
1.292   0.00   0.00   0.00 
1.305   0.00   0.00   0.00 
1.312   0.00   0.00   0.00 
1.327   0.00   0.00   0.00 
1.344   0.00   0.00   0.00 
1.344   0.00   0.00   0.00 
1.352   0.00   0.00   0.00 
1.362   0.00   0.00   0.00 
1.372   0.00   0.00   0.00 
1.382   0.00   0.00   0.00 
1.409   0.00   0.00   0.00 
1.409   0.00   0.00   0.00 
1.414   0.00   0.00   0.00 
1.441   0.00   0.00   0.00 
1.441   0.00   0.00   0.00 
1.445   0.00   0.00   0.00 
1.464   0.00   0.00   0.00 
1.464   0.00   0.00   0.00 
1.472   0.00   0.00   0.00 
1.482   0.00   0.00   0.00 
1.504   0.00   0.00   0.00 
1.520   0.00   0.00   0.00 
1.520   0.00   0.00   0.00 
1.537   0.00   0.00   0.00 
1.537   0.00   0.00   0.00 
1.542   0.00   0.00   0.00 
1.552   0.00   0.00   0.00 
1.568   0.00   0.00   0.00 
1.580   0.00   0.00   0.00 
1.585   0.00   0.00   0.00 
1.597   0.00   0.00   0.00 
1.606   0.00   0.00   0.00 
1.617   0.00   0.00   0.00 
1.626   0.00   0.00   0.00 
1.632   0.00   0.00   0.00 
1.660   0.00   0.00   0.00 
1.661   0.00   0.00   0.00 
1.662   0.00   0.00   0.00 
1.677   0.00   0.00   0.00 
1.682   0.00   0.00   0.00 
1.705   0.00   0.00   0.00 
1.719   0.00   0.00   0.00 
1.719   0.00   0.00   0.00 
1.727   0.00   0.00   0.00 
1.753   0.00   0.00   0.00 
1.753   0.00   0.00   0.00 
1.753   0.00   0.00   0.00 
1.769   0.00   0.00   0.00 
1.794   0.00   0.00   0.00 
1.809   0.00   0.00   0.00 
1.817   0.00   0.00   0.00 
1.828   0.00   0.00   0.00 
1.834   0.00   0.00   0.00 
1.844   0.00   0.00   0.00 
1.854   0.00   0.00   0.00 
1.878   0.00   0.00   0.00 
1.887   0.00   0.00   0.00 
1.887   0.00   0.00   0.00 
1.897   0.00   0.00   0.00 
1.905   0.00   0.00   0.00 
