t    x     y    deg 
0.000   0.00   0.00   0.00 
0.000   0.00   0.00   0.00 
0.010   0.00   0.00   0.00 
0.020   0.00   0.00   0.00 
0.038   0.00   0.00   0.00 
0.046   0.00   0.00   0.00 
0.070   0.00   0.00   0.00 
0.070   0.00   0.00   0.00 
0.073   0.00   0.00   0.00 
0.104   0.00   0.00   0.00 
0.120   0.00   0.00   0.00 
0.133   0.00   0.00   0.00 
0.176   0.00   0.00   0.00 
0.176   0.00   0.00   0.00 
0.198   0.00   0.00   0.00 
0.220   0.00   0.00   0.00 
0.242   0.00   0.00   0.00 
0.250   0.00   0.00   0.00 
0.270   0.00   0.00   0.00 
0.270   0.00   0.00   0.00 
0.270   0.00   0.00   0.00 
0.321   0.00   0.00   0.00 
0.321   0.00   0.00   0.00 
0.371   0.00   0.00   0.00 
0.406   0.00   0.00   0.00 
0.421   0.00   0.00   0.00 
0.471   0.00   0.00   0.00 
0.507   0.00   0.00   0.00 
0.522   0.00   0.00   0.00 
0.544   0.00   0.00   0.00 
0.546   0.00   0.00   0.00 
0.563   0.00   0.00   0.00 
0.563   0.00   0.00   0.00 
0.578   0.00   0.00   0.00 
0.578   0.00   0.00   0.00 
0.594   0.00   0.00   0.00 
0.626   0.00   0.00   0.00 
0.644   0.00   0.00   0.00 
0.670   0.00   0.00   0.00 
0.670   0.00   0.00   0.00 
0.690   0.00   0.00   0.00 
0.690   0.00   0.00   0.00 
0.694   0.00   0.00   0.00 
0.795   0.00   0.00   0.00 
0.826   0.00   0.00   0.00 
0.839   0.00   0.00   0.00 
0.846   0.00   0.00   0.00 
0.858   0.00   0.00   0.00 
0.874   0.00   0.00   0.00 
0.895   0.00   0.00   0.00 
0.895   0.00   0.00   0.00 
0.896   0.00   0.00   0.00 
0.945   0.00   0.00   0.00 
0.966   0.00   0.00   0.00 
0.995   0.00   0.00   0.00 
0.995   0.00   0.00   0.00 
1.006   0.00   0.00   0.00 
1.006   0.00   0.00   0.00 
1.016   0.00   0.00   0.00 
1.032   0.00   0.00   0.00 
1.037   0.00   0.00   0.00 
1.062   0.00   0.00   0.00 
1.062   0.00   0.00   0.00 
1.066   0.00   0.00   0.00 
1.078   0.00   0.00   0.00 
1.110   0.00   0.00   0.00 
1.110   0.00   0.00   0.00 
1.110   0.00   0.00   0.00 
1.116   0.00   0.00   0.00 
1.150   0.00   0.00   0.00 
1.150   0.00   0.00   0.00 
1.150   0.00   0.00   0.00 
1.160   0.00   0.00   0.00 
1.170   0.00   0.00   0.00 
1.210   0.00   0.00   0.00 
1.260   0.00   0.00   0.00 
1.279   0.00   0.00   0.00 
1.299   0.00   0.00   0.00 
1.310   0.00   0.00   0.00 
1.330   0.00   0.00   0.00 
1.336   0.00   0.00   0.00 
1.359   0.00   0.00   0.00 
1.359   0.00   0.00   0.00 
1.360   0.00   0.00   0.00 
1.372   0.00   0.00   0.00 
1.389   0.00   0.00   0.00 
1.411   0.00   0.00   0.00 
1.422   0.00   0.00   0.00 
1.453   0.00   0.00   0.00 
1.453   0.00   0.00   0.00 
1.453   0.00   0.00   0.00 
1.466   0.00   0.00   0.00 
1.482   0.00   0.00   0.00 
1.507   0.00   0.00   0.00 
1.517   0.00   0.00   0.00 
1.532   0.00   0.00   0.00 
1.539   0.00   0.00   0.00 
1.558   0.00   0.00   0.00 
1.558   0.00   0.00   0.00 
1.567   0.00   0.00   0.00 
1.577   0.00   0.00   0.00 
1.589   0.00   0.00   0.00 
1.602   0.00   0.00   0.00 
1.616   0.00   0.00   0.00 
1.630   0.00   0.00   0.00 
1.630   0.00   0.00   0.00 
1.640   0.00   0.00   0.00 
1.647   0.00   0.00   0.00 
1.657   0.00   0.00   0.00 
1.667   0.00   0.00   0.00 
1.677   0.00   0.00   0.00 
1.687   0.00   0.00   0.00 
1.698   0.00   0.00   0.00 
1.710   0.00   0.00   0.00 
1.717   0.00   0.00   0.00 
1.729   0.00   0.00   0.00 
1.739   0.00   0.00   0.00 
1.752   0.00   0.00   0.00 
1.759   0.00   0.00   0.00 
1.768   0.00   0.00   0.00 
1.777   0.00   0.00   0.00 
1.790   0.00   0.00   0.00 
1.799   0.00   0.00   0.00 
1.817   0.00   0.00   0.00 
1.835   0.00   0.00   0.00 
1.836   0.00   0.00   0.00 
1.838   0.00   0.00   0.00 
1.862   0.00   0.00   0.00 
1.873   0.00   0.00   0.00 
1.882   0.00   0.00   0.00 
1.891   0.00   0.00   0.00 
1.891   0.00   0.00   0.00 
1.899   0.00   0.00   0.00 
1.934   0.00   0.00   0.00 
1.934   0.00   0.00   0.00 
1.935   0.00   0.00   0.00 
1.938   0.00   0.00   0.00 
1.955   0.00   0.00   0.00 
1.961   0.00   0.00   0.00 
1.972   0.00   0.00   0.00 
1.991   0.00   0.00   0.00 
1.991   0.00   0.00   0.00 
2.016   0.00   0.00   0.00 
2.016   0.00   0.00   0.00 
2.017   0.00   0.00   0.00 
2.027   0.00   0.00   0.00 
2.038   0.00   0.00   0.00 
2.050   0.00   0.00   0.00 
2.080   0.00   0.00   0.00 
2.081   0.00   0.00   0.00 
2.081   0.00   0.00   0.00 
2.088   0.00   0.00   0.00 
2.101   0.00   0.00   0.00 
2.125   0.00   0.00   0.00 
2.126   0.00   0.00   0.00 
2.138   0.00   0.00   0.00 
2.138   0.00   0.00   0.00 
2.147   0.00   0.00   0.00 
2.160   0.00   0.00   0.00 
2.169   0.00   0.00   0.00 
2.178   0.00   0.00   0.00 
2.188   0.00   0.00   0.00 
2.199   0.00   0.00   0.00 
2.215   0.00   0.00   0.00 
2.222   0.00   0.00   0.00 
2.239   0.00   0.00   0.00 
2.258   0.00   0.00   0.00 
2.272   0.00   0.00   0.00 
